repetitiveness_score,len,ppl
17.218543046357617,197,7.141585541264235
15.483870967741936,200,5.668802168275457
11.235955056179774,127,5.7749221418829375
22.602739726027394,200,3.4079316015101577
16.05839416058394,200,3.8799066525293964
17.272727272727273,200,2.22341314335971
5.555555555555555,21,4.359437647267252
16.149068322981368,200,5.092854887939162
17.419354838709676,200,5.473749841828253
19.745222929936308,200,5.005792434679734
12.418300653594772,200,5.177185391585379
15.254237288135593,200,2.7361445193110123
0.0,6,5.074197848961409
15.24390243902439,200,6.048010927701449
12.751677852348994,200,6.410463303021998
13.698630136986301,200,8.075385436268117
13.690476190476192,200,5.448581497734413
17.6056338028169,200,3.446843114267877
12.82051282051282,200,5.764412851162064
17.93103448275862,200,3.4264015496066547
18.181818181818183,200,6.943651049295777
19.11764705882353,200,5.659158252804595
13.939393939393941,200,6.140628545248971
11.612903225806452,200,5.448422914162407
22.36024844720497,200,4.266005136208597
15.286624203821656,200,4.744170489167755
3.3333333333333335,200,1.7360414237525135
24.324324324324326,200,2.0061046078789375
23.75,200,2.454353434109915
11.594202898550725,200,2.63827398327658
11.464968152866243,200,5.12829898445355
20.8955223880597,200,3.640873545424982
31.76470588235294,200,1.5626536459597422
20.97902097902098,200,3.8081817703715064
11.76470588235294,56,2.490176538151155
0.0,16,6.037773141622447
14.705882352941178,200,5.276520414511938
13.138686131386862,200,5.907600299398778
18.705035971223023,200,5.195096291697582
19.148936170212767,200,3.0502290107519245
10.0,200,1.1739757841700846
16.911764705882355,173,5.167918547468664
1.4705882352941175,200,1.0710236421884887
14.285714285714285,19,1.4869298649998768
15.671641791044777,200,4.017441896622109
20.714285714285715,200,4.123002627594453
17.36111111111111,200,5.509393505686404
18.6046511627907,200,5.550790546291401
19.205298013245034,200,4.864322254037999
19.753086419753085,200,6.3666320220389085
12.068965517241379,200,2.0676572849319648
12.5,200,5.101626711859455
16.546762589928058,200,4.573757105299769
25.688073394495415,200,5.360638670146801
2.0,200,1.1184057396197697
18.75,200,3.400841095395039
17.6056338028169,200,5.010708755211613
