File,n,Repeated N-grams,Total N-grams,Repetition Percentage
conditional_bs_w=8_large.jsonl,1,63143,378037,16.702862418228904
conditional_bs_w=8_large.jsonl,2,60915,373037,16.329479381401846
conditional_bs_w=8_large.jsonl,3,58365,368037,15.85845988310958
conditional_bs_w=8_large.jsonl,4,56281,363050,15.502272414268006
conditional_bs_w=8_large.jsonl,5,54452,358091,15.206190605181364
conditional_sbs_w=16_large.jsonl,1,37833,343225,11.02279845582344
conditional_sbs_w=16_large.jsonl,2,8459,338225,2.5009978564565007
conditional_sbs_w=16_large.jsonl,3,3574,333225,1.0725485782879436
conditional_sbs_w=16_large.jsonl,4,2374,328243,0.7232446693455763
conditional_sbs_w=16_large.jsonl,5,1801,323297,0.5570729081927763
conditional_topk_k=40_t=0.7_large.jsonl,1,109682,662322,16.560222973115795
conditional_topk_k=40_t=0.7_large.jsonl,2,70096,657322,10.663875543493145
conditional_topk_k=40_t=0.7_large.jsonl,3,46724,652330,7.1626324099765455
conditional_topk_k=40_t=0.7_large.jsonl,4,36238,647342,5.597968307324413
conditional_topk_k=40_t=0.7_large.jsonl,5,30170,642364,4.6967140126158995
conditional_topk_k=10240_large.jsonl,1,75018,625571,11.991924178070915
conditional_topk_k=10240_large.jsonl,2,17813,620571,2.87042095102736
conditional_topk_k=10240_large.jsonl,3,7300,615592,1.1858503684258404
conditional_topk_k=10240_large.jsonl,4,4864,610626,0.7965595962176519
conditional_topk_k=10240_large.jsonl,5,3736,605667,0.616840607132302
conditional_topp_p=0.2_large.jsonl,1,100126,688332,14.546178297681934
conditional_topp_p=0.2_large.jsonl,2,104574,683332,15.303542055691816
conditional_topp_p=0.2_large.jsonl,3,100594,678338,14.829480288587696
conditional_topp_p=0.2_large.jsonl,4,97504,673350,14.48043365263236
conditional_topp_p=0.2_large.jsonl,5,94901,668364,14.198999347660857
conditional_topp_p=0.9875_large.jsonl,1,77946,636098,12.2537722174885
conditional_topp_p=0.9875_large.jsonl,2,18670,631098,2.9583361062782645
conditional_topp_p=0.9875_large.jsonl,3,7371,626111,1.17726728966589
conditional_topp_p=0.9875_large.jsonl,4,4841,621136,0.7793784292006903
conditional_topp_p=0.9875_large.jsonl,5,3763,616172,0.6107061015430756
conditional_topp_p=0.99375_large.jsonl,1,76686,632291,12.128276379072295
conditional_topp_p=0.99375_large.jsonl,2,18310,627291,2.918900478406354
conditional_topp_p=0.99375_large.jsonl,3,7342,622305,1.1798073292035256
conditional_topp_p=0.99375_large.jsonl,4,4912,617330,0.7956846419257124
conditional_topp_p=0.99375_large.jsonl,5,3858,612363,0.6300184694372456
conditional_sampling_t=0.5_large.jsonl,1,112137,675771,16.593934927660406
conditional_sampling_t=0.5_large.jsonl,2,98640,670771,14.70546579980351
conditional_sampling_t=0.5_large.jsonl,3,83323,665783,12.515038683775344
conditional_sampling_t=0.5_large.jsonl,4,74137,660800,11.21927966101695
conditional_sampling_t=0.5_large.jsonl,5,67805,655820,10.338964959897533
conditional_topk_k=1280_t=0.7_large.jsonl,1,105714,657192,16.085710112113354
conditional_topk_k=1280_t=0.7_large.jsonl,2,63205,652192,9.691164565036063
conditional_topk_k=1280_t=0.7_large.jsonl,3,40255,647203,6.219841378980011
conditional_topk_k=1280_t=0.7_large.jsonl,4,30622,642226,4.768103440221978
conditional_topk_k=1280_t=0.7_large.jsonl,5,25128,637259,3.943137719514358
conditional_bs_w=4_large.jsonl,1,74635,487837,15.299167549816845
conditional_bs_w=4_large.jsonl,2,74031,482837,15.332503515679205
conditional_bs_w=4_large.jsonl,3,71653,477837,14.995280817517271
conditional_bs_w=4_large.jsonl,4,69754,472840,14.752136029100754
conditional_bs_w=4_large.jsonl,5,68115,467860,14.558842388748772
conditional_topk_k=10_large.jsonl,1,112378,668165,16.818899523321335
conditional_topk_k=10_large.jsonl,2,58210,663165,8.77760436693734
conditional_topk_k=10_large.jsonl,3,32059,658177,4.870878198417751
conditional_topk_k=10_large.jsonl,4,22084,653197,3.3809095877660185
conditional_topk_k=10_large.jsonl,5,17071,648222,2.6335113587628927
conditional_topp_p=0.7_large.jsonl,1,102560,649855,15.781982134476152
conditional_topp_p=0.7_large.jsonl,2,51825,644855,8.036690418776313
conditional_topp_p=0.7_large.jsonl,3,29720,639868,4.644707971019023
conditional_topp_p=0.7_large.jsonl,4,21265,634894,3.3493780064073686
conditional_topp_p=0.7_large.jsonl,5,16934,629926,2.6882522709016614
conditional_topk_k=20480_large.jsonl,1,75325,631337,11.931028911658908
conditional_topk_k=20480_large.jsonl,2,17718,626337,2.8288285699232203
conditional_topk_k=20480_large.jsonl,3,7053,621356,1.1350980758212683
conditional_topk_k=20480_large.jsonl,4,4689,616386,0.7607246108769504
conditional_topk_k=20480_large.jsonl,5,3705,611428,0.6059585102415984
conditional_topp_p=0.999951171875_large.jsonl,1,75065,632196,11.873691070490796
conditional_topp_p=0.999951171875_large.jsonl,2,16978,627196,2.706968794443842
conditional_topp_p=0.999951171875_large.jsonl,3,6646,622208,1.0681315572927381
conditional_topp_p=0.999951171875_large.jsonl,4,4385,617236,0.7104251858284352
conditional_topp_p=0.999951171875_large.jsonl,5,3390,612272,0.5536754906316147
    conditional_topk_k=5_t=0.7_large.jsonl,1,117415,676685,17.351500328808825
conditional_topk_k=5_t=0.7_large.jsonl,2,97178,671685,14.467793683050834
conditional_topk_k=5_t=0.7_large.jsonl,3,77319,666695,11.597357112322726
conditional_topk_k=5_t=0.7_large.jsonl,4,66119,661707,9.99218687425099
conditional_topk_k=5_t=0.7_large.jsonl,5,58655,656722,8.931480900594163
conditional_topk_k=640_t=0.7_large.jsonl,1,105523,657734,16.0434157273305
conditional_topk_k=640_t=0.7_large.jsonl,2,63114,652734,9.669176111555396
conditional_topk_k=640_t=0.7_large.jsonl,3,40630,647745,6.27253008514153
conditional_topk_k=640_t=0.7_large.jsonl,4,31020,642766,4.8260175553778515
conditional_topk_k=640_t=0.7_large.jsonl,5,25707,637791,4.030630723857816
conditional_greedy_large.jsonl,1,90055,708574,12.709328877435524
conditional_greedy_large.jsonl,2,96443,703574,13.707584418980803
conditional_greedy_large.jsonl,3,95393,698579,13.655291670662875
conditional_greedy_large.jsonl,4,94302,693591,13.596197182489393
conditional_greedy_large.jsonl,5,93315,688606,13.551290578356854
conditional_sampling_t=0.9_large.jsonl,1,86973,636699,13.659986901188786
conditional_sampling_t=0.9_large.jsonl,2,28898,631699,4.5746471024966
conditional_sampling_t=0.9_large.jsonl,3,13064,626712,2.084530055272597
conditional_sampling_t=0.9_large.jsonl,4,8687,621731,1.3972280616536734
conditional_sampling_t=0.9_large.jsonl,5,6650,616765,1.0782064481609688
conditional_topk_k=1280_large.jsonl,1,81138,639457,12.688577965367493
conditional_topk_k=1280_large.jsonl,2,20653,634457,3.255224546344354
conditional_topk_k=1280_large.jsonl,3,8359,629475,1.3279320068310894
conditional_topk_k=1280_large.jsonl,4,5492,624511,0.8794080488574261
conditional_topk_k=1280_large.jsonl,5,4267,619562,0.6887123484009671
conditional_topk_k=160_large.jsonl,1,90935,649985,13.990322853604315
conditional_topk_k=160_large.jsonl,2,26581,644985,4.121181112739055
